Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level
Justice Akbar Mawatha Slave Island,2025-01-05,18:34,Minor Injury,Head-on Collision,Unsafe Lane Change,2,Bicycle; Lorry,18-25,0,2,Moderate
Slave Island Junction,2023-12-21,18:18,Minor Injury,Single Vehicle Crash,Overspeeding,1,Van,36-45,0,4,Low
Armour Street Junction,2024-02-14,02:54,Serious Injury,Head-on Collision,Drunk Driving,2,Three Wheeler; Motorcycle,26-35,0,5,Moderate
Bambalapitiya Railway Station Area,2023-07-09,07:46,Minor Injury,Rear-end Collision,Reckless Driving,1,Car,46-55,0,2,Moderate
Modara Junction,2022-03-31,23:24,Serious Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Van,46-55,0,4,Moderate
Hulftsdorp Junction,2025-05-11,20:42,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Bicycle; Motorcycle; Van; Three Wheeler,18-25,0,2,Low
Dematagoda Junction,2024-04-27,18:36,Serious Injury,Rear-end Collision,Poor Visibility,4,Bicycle; Motorcycle; Car; Three Wheeler,36-45,0,5,Moderate
Wellawatte Junction,2022-08-14,19:49,Fatal,Side-impact Collision,Driver Negligence,2,Car; Van,18-25,1,5,High
Dehiwela Railway Station Area,2025-04-23,18:42,Minor Injury,Rear-end Collision,Drunk Driving,2,Motorcycle; Three Wheeler,26-35,0,3,Moderate
Union Place Slave Island,2024-01-04,17:03,Minor Injury,Side-impact Collision,Mechanical Failure,2,Motorcycle; Three Wheeler,46-55,0,2,Moderate
Justice Akbar Mawatha Slave Island,2024-02-09,17:43,Minor Injury,Side-impact Collision,Driver Negligence,1,Motorcycle,46-55,0,4,Moderate
Bambalapitiya Junction,2024-08-18,19:31,Serious Injury,Rear-end Collision,Distracted Driving,1,Motorcycle,46-55,0,2,High
Borella Junction,2023-07-01,18:40,Serious Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Three Wheeler,26-35,0,2,Low
Galle Road Fort,2022-03-15,14:38,Minor Injury,Rear-end Collision,Overspeeding,1,Motorcycle,46-55,0,1,Moderate
Sir Chittampalam A Gardiner Mawatha Fort,2022-03-09,08:02,Minor Injury,Multi-vehicle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,18-25,0,3,Moderate
"Junction of Baseline Road and Elvitigala Mawatha, Colombo 08",2024-05-22,09:01,Serious Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Car; Bicycle,26-35,0,2,High
Union Place Borella,2025-02-25,15:28,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Car,26-35,0,4,High
Narahenpita Junction,2025-09-06,20:32,Fatal,Single Vehicle Crash,Reckless Driving,1,Three Wheeler,46-55,1,5,Moderate
Armour Street Junction,2022-11-08,01:35,Fatal,Rear-end Collision,Driver Negligence,1,Motorcycle,26-35,1,3,High
Fort Railway Station Area,2023-08-14,18:34,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Van,26-35,0,3,Low
Liberty Plaza Area,2024-03-15,14:20,Minor Injury,Head-on Collision,Reckless Driving,2,Bicycle; Three Wheeler,26-35,0,2,Low
Galle Road Fort,2024-02-04,07:26,Minor Injury,Rear-end Collision,Reckless Driving,4,Three Wheeler; Car; Bus; Motorcycle,56+,0,1,Low
Maradana Railway Station Area,2023-10-18,10:18,Serious Injury,Pedestrian Collision,Driver Negligence,2,Three Wheeler; Motorcycle,26-35,0,6,High
Galle Road Fort,2024-05-20,17:01,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,36-45,0,2,Low
Baseline Road Borella,2023-07-30,09:37,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Three Wheeler,56+,0,3,Moderate
Madampitiya Road,2022-08-13,12:21,Minor Injury,Side-impact Collision,Poor Visibility,4,Three Wheeler; Motorcycle; Van; Lorry,36-45,0,3,Low
Baseline Road Dematagoda,2024-02-27,15:27,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,18-25,0,5,High
Duplication Road Bambalapitiya,2023-08-31,07:22,Fatal,Pedestrian Collision,Overspeeding,1,Motorcycle,26-35,1,3,Low
Ekala Junction,2024-09-30,07:50,Fatal,Rear-end Collision,Reckless Driving,1,Motorcycle,18-25,1,1,Moderate
Orugodawatta Junction,2024-02-27,07:15,Serious Injury,Motorcycle Collision,Overspeeding,1,Motorcycle,36-45,0,6,High
Bambalapitiya Junction,2022-02-23,14:31,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Motorcycle; Three Wheeler; Lorry,18-25,0,2,Low
Slave Island Junction,2024-11-25,07:25,Serious Injury,Side-impact Collision,Overspeeding,3,Bicycle; Motorcycle; Three Wheeler,18-25,0,5,High
"No. 9 Thimbirigasyaya Road, Colombo 05",2024-06-14,08:54,Minor Injury,Single Vehicle Crash,Pedestrian Negligence,1,Three Wheeler,26-35,0,4,Low
Union Place Borella,2024-05-01,09:35,Minor Injury,Multi-vehicle Collision,Poor Visibility,4,Van; Three Wheeler; Motorcycle; Bicycle,18-25,0,4,Low
Sea Street Kotahena,2024-05-13,18:38,Minor Injury,Head-on Collision,Driver Negligence,1,Three Wheeler,26-35,0,2,High
"Junction of Galle Road and Lauries Road, Colombo 04",2024-02-20,18:22,Serious Injury,Side-impact Collision,Overspeeding,2,Car; Bicycle,46-55,0,6,Moderate
York Street Fort,2022-12-27,07:17,Minor Injury,Pedestrian Collision,Unsafe Lane Change,1,Motorcycle,26-35,0,1,Moderate
"No. 23 Kynsey Road, Colombo 08",2024-05-11,14:35,Minor Injury,Rear-end Collision,Overspeeding,1,Bicycle,18-25,0,3,Low
Slave Island Junction,2024-06-22,22:58,Minor Injury,Multi-vehicle Collision,Distracted Driving,4,Three Wheeler; Bus; Lorry; Motorcycle,18-25,0,2,High
Justice Akbar Mawatha Slave Island,2024-08-09,14:28,Minor Injury,Rear-end Collision,Reckless Driving,2,Car; Three Wheeler,46-55,0,3,Low
"Junction of York Street and Chatham Street, Colombo 01",2022-08-29,09:32,Minor Injury,Rear-end Collision,Drunk Driving,1,Motorcycle,46-55,0,1,Low
Kotahena Junction,2025-06-30,14:11,Minor Injury,Motorcycle Collision,Driver Negligence,1,Motorcycle,18-25,0,2,Low
High Level Road Kirulapone,2022-01-22,12:19,Fatal,Rear-end Collision,Overspeeding,1,Motorcycle,56+,1,3,High
Sea Street Kotahena,2025-09-10,16:13,Fatal,Side-impact Collision,Unsafe Lane Change,2,Three Wheeler; Car,46-55,1,2,High
Galle Road Wellawatte,2025-02-07,23:33,Serious Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bicycle,26-35,0,3,High
Nugegoda Junction,2023-04-22,13:05,Minor Injury,Head-on Collision,Reckless Driving,1,Car,36-45,0,3,Low
Battaramulla Junction,2023-01-28,08:31,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Bicycle,46-55,0,1,Low
Hulftsdorp Junction,2024-04-27,18:51,Fatal,Motorcycle Collision,Failure to Yield,2,Motorcycle; Three Wheeler,18-25,1,1,High
Mutwal Road Mutwal,2025-07-27,07:35,Fatal,Multi-vehicle Collision,Reckless Driving,4,Car; Three Wheeler; Motorcycle; Van,26-35,2,8,Moderate
Bauddhaloka Mawatha Cinnamon Gardens,2024-09-23,22:50,Minor Injury,Multi-vehicle Collision,Distracted Driving,2,Three Wheeler; Motorcycle,36-45,0,2,Moderate
"No. 65 Vajira Road, Colombo 05",2023-02-07,15:03,Minor Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,46-55,0,1,Low
Justice Akbar Mawatha Slave Island,2025-11-06,23:50,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Three Wheeler; Car; Van; Motorcycle,18-25,0,3,Low
Kotahena Junction,2022-11-16,18:07,Serious Injury,Motorcycle Collision,Poor Visibility,4,Motorcycle; Bicycle; Three Wheeler; Car,56+,0,6,High
Sea Street Kotahena,2024-07-23,20:54,Serious Injury,Pedestrian Collision,Driver Negligence,2,Car; Van,26-35,0,4,High
Hulftsdorp Junction,2024-11-18,20:18,Serious Injury,Multi-vehicle Collision,Unsafe Lane Change,4,Motorcycle; Three Wheeler; Lorry; Car,26-35,0,2,High
Borella Police Area,2022-12-19,19:01,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Bus,36-45,0,1,Low
Havelock Road Havelock Town,2023-12-19,17:40,Fatal,Rear-end Collision,Failure to Yield,2,Bicycle; Motorcycle,36-45,1,5,High
Baseline Road Borella,2022-06-03,18:30,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Lorry,18-25,0,1,Moderate
Town Hall Area,2022-12-14,18:38,Minor Injury,Motorcycle Collision,Driver Fatigue,3,Motorcycle; Bicycle; Car,36-45,0,1,Moderate
Panchikawatte,2025-07-07,21:06,Serious Injury,Multi-vehicle Collision,Driver Negligence,3,Car; Motorcycle; Lorry,56+,0,5,Moderate
Fort Railway Station Area,2024-10-27,17:07,Minor Injury,Motorcycle Collision,Driver Negligence,1,Motorcycle,56+,0,1,Low
Union Place Borella,2024-06-14,09:42,Minor Injury,Side-impact Collision,Driver Negligence,2,Lorry; Bicycle,18-25,0,1,Low
"Junction of Beira Lake Road and Ananda Coomaraswamy Mawatha, Colombo 03",2022-04-06,19:36,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,56+,0,1,High
Pamankada Junction,2025-01-01,13:50,Minor Injury,Pedestrian Collision,Reckless Driving,2,Car; Bus,18-25,0,2,Low
Bambalapitiya Market Area,2024-03-21,19:05,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,26-35,0,2,Moderate
Panchikawatte,2024-01-26,17:33,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Car,36-45,0,2,Low
Baseline Road Borella,2025-09-21,12:36,Minor Injury,Multi-vehicle Collision,Reckless Driving,4,Motorcycle; Bicycle; Car; Van,56+,0,2,Moderate
Maradana Junction,2023-12-17,19:56,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Van,46-55,0,4,High
Borella Junction,2025-02-21,12:46,Fatal,Pedestrian Collision,Reckless Driving,1,Lorry,36-45,1,5,Moderate
Bambalapitiya Junction,2024-04-17,04:11,Serious Injury,Rear-end Collision,Reckless Driving,3,Lorry; Motorcycle; Car,36-45,0,5,High
Maradana Junction,2024-04-12,20:23,Minor Injury,Rear-end Collision,Failure to Yield,3,Three Wheeler; Car; Motorcycle,26-35,0,4,Low
Wellawatte Junction,2022-01-11,07:29,Minor Injury,Single Vehicle Crash,Distracted Driving,1,Car,18-25,0,1,Low
Fort Railway Station Area,2022-04-11,09:56,Serious Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Van,26-35,0,4,High
Pettah Clock Tower Area,2022-04-26,09:59,Minor Injury,Rear-end Collision,Driver Negligence,2,Car; Bus,18-25,0,4,High
Union Place Borella,2025-02-13,09:35,Minor Injury,Side-impact Collision,Pedestrian Negligence,2,Three Wheeler; Motorcycle,36-45,0,4,High
Mutwal Road Mutwal,2022-10-20,14:48,Serious Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,5,High
Kochchikade Junction,2025-01-04,23:56,Minor Injury,Side-impact Collision,Reckless Driving,2,Motorcycle; Three Wheeler,26-35,0,3,Low
Pettah Market Area,2022-06-19,14:26,Minor Injury,Side-impact Collision,Driver Fatigue,2,Motorcycle; Bus,36-45,0,3,Low
High Level Road Kirulapone,2024-05-17,07:19,Minor Injury,Rear-end Collision,Overspeeding,4,Motorcycle; Car; Bus; Van,56+,0,4,Moderate
Justice Akbar Mawatha Slave Island,2025-10-01,14:36,Fatal,Rear-end Collision,Overspeeding,4,Van; Bus; Motorcycle; Three Wheeler,46-55,1,4,High
Wellawatte Junction,2022-07-15,15:59,Fatal,Side-impact Collision,Overspeeding,3,Lorry; Three Wheeler; Van,18-25,1,4,Moderate
Cambridge Place Colombo 07,2022-05-25,20:10,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Van,36-45,0,6,High
"No. 88 Galle Road, Rathmalana",2023-12-15,09:38,Serious Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Three Wheeler,46-55,0,4,High
Pittugala Junction,2022-07-29,23:41,Serious Injury,Rear-end Collision,Driver Negligence,1,Van,26-35,0,2,High
Borella Junction,2024-02-19,09:44,Serious Injury,Multi-vehicle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,56+,0,4,High
Technical Junction,2024-01-07,18:56,Minor Injury,Side-impact Collision,Reckless Driving,1,Motorcycle,18-25,0,3,Moderate
Wattala Junction,2024-06-08,19:52,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Van,18-25,0,1,Low
Bambalapitiya Junction,2025-05-01,11:25,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Three Wheeler; Car,36-45,0,4,Low
Baseline Road Rajagiriya,2025-05-23,15:24,Minor Injury,Rear-end Collision,Driver Negligence,4,Three Wheeler; Lorry; Car; Van,36-45,0,2,High
Marine Drive Kollupitiya,2023-11-07,14:30,Minor Injury,Rear-end Collision,Reckless Driving,1,Motorcycle,56+,0,1,Moderate
Fort Railway Station Area,2023-07-16,08:22,Serious Injury,Single Vehicle Crash,Driver Fatigue,1,Car,46-55,0,3,High
Mattakkuliya Junction,2022-05-01,11:52,Serious Injury,Rear-end Collision,Unsafe Lane Change,1,Van,26-35,0,6,Moderate
Justice Akbar Mawatha Slave Island,2022-10-20,17:21,Minor Injury,Pedestrian Collision,Poor Visibility,1,Motorcycle,26-35,0,1,High
"No. 15 Colvin R. de Silva Mawatha, Colombo 02",2023-12-11,16:31,Serious Injury,Pedestrian Collision,Driver Fatigue,1,Motorcycle,26-35,0,2,Moderate
Slave Island Junction,2024-11-09,14:43,Minor Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Van,18-25,0,2,Low
Darley Road Cinnamon Gardens,2023-06-16,18:53,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,18-25,0,3,Moderate
"Junction of St. Joseph's Street and Kotahena Street, Colombo 13",2023-09-25,16:05,Serious Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Three Wheeler; Bus,18-25,0,6,Moderate
High Level Road Kirulapone,2023-12-26,21:47,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Bicycle,26-35,0,3,High
Modara Junction,2022-09-06,09:14,Fatal,Rear-end Collision,Reckless Driving,1,Three Wheeler,18-25,1,3,High
Liberty Plaza Area,2025-02-13,19:52,Minor Injury,Side-impact Collision,Failure to Yield,2,Three Wheeler; Lorry,26-35,0,1,Moderate
Bauddhaloka Mawatha Havelock Town,2023-06-08,23:51,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,26-35,0,2,Low
Pettah Clock Tower Area,2024-11-05,07:07,Minor Injury,Rear-end Collision,Distracted Driving,2,Motorcycle; Car,36-45,0,4,High
Marine Drive Kollupitiya,2024-02-22,06:47,Fatal,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,26-35,1,5,High
Pettah Clock Tower Area,2023-05-27,21:13,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,56+,0,3,Low
Kotahena Junction,2022-10-14,20:45,Serious Injury,Multi-vehicle Collision,Driver Negligence,4,Bicycle; Lorry; Motorcycle; Car,46-55,0,4,Moderate
Viharamahadevi Park Entrance,2025-04-17,23:38,Minor Injury,Multi-vehicle Collision,Poor Visibility,4,Motorcycle; Bus; Car; Three Wheeler,18-25,0,4,High
High Level Road Kirulapone,2025-11-15,06:55,Serious Injury,Rear-end Collision,Unsafe Lane Change,3,Bicycle; Motorcycle; Three Wheeler,36-45,0,6,High
Borella Police Area,2024-06-25,10:21,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,26-35,0,3,Low
Pagoda Road Nugegoda,2024-10-12,12:16,Serious Injury,Rear-end Collision,Failure to Yield,2,Car; Three Wheeler,18-25,0,4,High
Sir Chittampalam A Gardiner Mawatha Fort,2023-06-24,09:47,Serious Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Bicycle; Car,26-35,0,6,High
Sir Chittampalam A Gardiner Mawatha Fort,2025-01-27,19:29,Serious Injury,Multi-vehicle Collision,Driver Negligence,3,Bicycle; Car; Motorcycle,46-55,0,3,Moderate
D R Wijewardena Mawatha Dematagoda,2025-10-14,21:39,Minor Injury,Pedestrian Collision,Poor Visibility,1,Motorcycle,36-45,0,2,Low
"Junction of Rosmead Place and Maitland Crescent, Colombo 07",2025-02-18,21:16,Minor Injury,Rear-end Collision,Distracted Driving,1,Car,46-55,0,1,Low
Kollupitiya Junction,2024-09-26,12:20,Minor Injury,Motorcycle Collision,Unsafe Lane Change,4,Motorcycle; Three Wheeler; Van; Bicycle,26-35,0,2,High
Olcott Mawatha Pettah,2022-01-04,16:59,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,26-35,0,1,Low
Viharamahadevi Park Entrance,2022-01-24,18:04,Serious Injury,Rear-end Collision,Reckless Driving,2,Car; Three Wheeler,56+,0,5,High
Pettah Clock Tower Area,2024-04-04,09:34,Serious Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Lorry,36-45,0,5,High
Union Place Borella,2024-10-26,10:56,Serious Injury,Head-on Collision,Driver Negligence,3,Car; Motorcycle; Lorry,26-35,0,3,Moderate
Panchikawatte,2025-03-05,19:45,Minor Injury,Side-impact Collision,Failure to Yield,2,Bicycle; Lorry,26-35,0,4,Low
Fort Railway Station Area,2025-11-30,09:09,Minor Injury,Pedestrian Collision,Driver Fatigue,2,Van; Three Wheeler,26-35,0,2,Low
Slave Island Junction,2024-11-01,20:23,Minor Injury,Pedestrian Collision,Driver Negligence,2,Three Wheeler; Bicycle,36-45,0,1,High
Kotahena Junction,2025-10-27,11:52,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Car; Three Wheeler; Motorcycle,26-35,0,4,Low
Bauddhaloka Mawatha Cinnamon Gardens,2022-12-26,21:06,Minor Injury,Side-impact Collision,Unsafe Lane Change,1,Three Wheeler,36-45,0,2,Moderate
Mutwal Road Mutwal,2024-07-17,15:15,Serious Injury,Side-impact Collision,Failure to Yield,4,Motorcycle; Bus; Car; Bicycle,46-55,0,5,High
Armour Street Junction,2023-10-16,09:06,Fatal,Multi-vehicle Collision,Overspeeding,4,Bus; Motorcycle; Car; Three Wheeler,36-45,1,5,High
Union Place Borella,2024-05-22,09:27,Minor Injury,Rear-end Collision,Reckless Driving,2,Motorcycle; Bicycle,18-25,0,2,Moderate
Pamankada Junction,2023-04-10,08:32,Fatal,Motorcycle Collision,Unsafe Lane Change,3,Motorcycle; Bus; Bicycle,36-45,1,4,High
Armour Street Pettah,2023-03-10,07:03,Fatal,Head-on Collision,Poor Visibility,2,Three Wheeler; Car,18-25,1,5,High
Union Place Borella,2024-11-20,04:03,Minor Injury,Pedestrian Collision,Distracted Driving,1,Lorry,18-25,0,2,High
Maya Avenue Junction,2025-05-26,11:04,Fatal,Multi-vehicle Collision,Reckless Driving,3,Motorcycle; Three Wheeler; Bicycle,18-25,1,5,Moderate
Pettah Market Area,2024-08-06,17:34,Serious Injury,Rear-end Collision,Reckless Driving,2,Lorry; Motorcycle,26-35,0,6,High
Sir Chittampalam A Gardiner Mawatha Fort,2023-01-03,03:00,Fatal,Pedestrian Collision,Reckless Driving,1,Motorcycle,18-25,1,4,Moderate
Union Place Borella,2024-08-27,14:40,Fatal,Multi-vehicle Collision,Overspeeding,3,Three Wheeler; Motorcycle; Car,26-35,2,4,High
D R Wijewardena Mawatha Fort,2024-09-27,07:36,Fatal,Rear-end Collision,Reckless Driving,4,Three Wheeler; Car; Van; Motorcycle,26-35,1,8,High
Angulana Junction,2023-09-06,15:09,Serious Injury,Rear-end Collision,Reckless Driving,2,Car; Motorcycle,18-25,0,6,High
Peliyagoda Junction,2024-05-05,15:13,Serious Injury,Pedestrian Collision,Overspeeding,2,Car; Three Wheeler,26-35,0,5,High
Justice Akbar Mawatha Slave Island,2025-06-05,07:47,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Bicycle,56+,0,5,High
Kollupitiya Flyover Approach,2022-11-20,03:57,Minor Injury,Single Vehicle Crash,Pedestrian Negligence,1,Motorcycle,36-45,0,3,Low
Colombo Fort Bus Stand Area,2022-02-24,16:19,Minor Injury,Rear-end Collision,Overspeeding,2,Motorcycle; Three Wheeler,18-25,0,2,Low
Sea Street Pettah,2024-11-15,21:00,Minor Injury,Motorcycle Collision,Reckless Driving,1,Motorcycle,26-35,0,3,Low
Messenger Street Pettah,2024-01-22,09:03,Minor Injury,Side-impact Collision,Distracted Driving,1,Bicycle,56+,0,3,Low
Bauddhaloka Mawatha Cinnamon Gardens,2024-05-15,21:53,Minor Injury,Multi-vehicle Collision,Distracted Driving,2,Car; Motorcycle,46-55,0,1,Moderate
Pettah Clock Tower Area,2024-10-08,04:16,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Three Wheeler; Motorcycle; Lorry; Bicycle,36-45,0,1,High
Borella Junction,2025-05-15,10:53,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,26-35,0,2,Low
Chatham Street Fort,2025-05-27,18:44,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Lorry; Three Wheeler; Car,36-45,0,2,High
Narahenpita Junction,2023-12-23,07:47,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,4,Van; Car; Three Wheeler; Bus,18-25,0,2,High
Mutwal Road Mutwal,2023-05-27,18:34,Minor Injury,Side-impact Collision,Driver Negligence,2,Three Wheeler; Bicycle,36-45,0,2,Moderate
Pettah Clock Tower Area,2023-11-15,20:54,Serious Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Bicycle,26-35,0,3,Moderate
Modara Junction,2024-12-02,12:01,Minor Injury,Multi-vehicle Collision,Driver Fatigue,2,Van; Motorcycle,56+,0,1,Low
Bambalapitiya Junction,2023-06-27,08:47,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Lorry; Car,18-25,0,2,Moderate
Maradana Junction,2023-09-19,09:33,Minor Injury,Motorcycle Collision,Mechanical Failure,2,Motorcycle; Three Wheeler,18-25,0,3,Moderate
Darley Road Cinnamon Gardens,2023-07-23,15:30,Serious Injury,Rear-end Collision,Distracted Driving,4,Motorcycle; Car; Bicycle; Three Wheeler,36-45,0,6,Moderate
Baseline Road Borella,2022-02-16,17:42,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Three Wheeler,18-25,0,1,Moderate
Fort Railway Station Area,2023-12-01,07:08,Fatal,Multi-vehicle Collision,Reckless Driving,3,Bicycle; Motorcycle; Bus,26-35,1,6,High
Marine Drive Kollupitiya,2023-07-06,22:59,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,18-25,0,1,Low
Bambalapitiya Junction,2022-04-27,20:04,Minor Injury,Side-impact Collision,Poor Visibility,2,Bicycle; Car,26-35,0,2,Moderate
"Junction of Nawala Road and Parliament Road, Rajagiriya",2023-02-12,17:18,Minor Injury,Rear-end Collision,Distracted Driving,2,Motorcycle; Van,26-35,0,4,Low
Bauddhaloka Mawatha Cinnamon Gardens,2025-06-26,08:12,Minor Injury,Side-impact Collision,Reckless Driving,2,Lorry; Three Wheeler,26-35,0,3,Moderate
Wellawatte Junction,2022-11-13,08:09,Minor Injury,Rear-end Collision,Overspeeding,1,Car,18-25,0,2,Low
Bambalapitiya Junction,2024-11-09,13:22,Minor Injury,Multi-vehicle Collision,Driver Negligence,2,Motorcycle; Car,26-35,0,4,Low
"Junction of High Level Road and Wijerama Mawatha, Nugegoda",2025-04-14,07:56,Minor Injury,Motorcycle Collision,Mechanical Failure,4,Motorcycle; Car; Lorry; Three Wheeler,26-35,0,3,Low
Borella Junction,2025-11-18,18:18,Minor Injury,Multi-vehicle Collision,Driver Negligence,4,Van; Motorcycle; Three Wheeler; Bicycle,36-45,0,3,Moderate
Bambalapitiya Junction,2023-08-23,10:39,Minor Injury,Side-impact Collision,Overspeeding,2,Bicycle; Lorry,26-35,0,2,Moderate
Kotahena Junction,2022-07-31,09:40,Minor Injury,Rear-end Collision,Driver Negligence,2,Motorcycle; Three Wheeler,46-55,0,1,Low
"No. 17 Temple Road, Mount Lavinia",2022-02-20,08:23,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Car; Bicycle; Lorry,56+,0,2,Low
Kollupitiya Flyover Approach,2023-03-24,07:59,Minor Injury,Multi-vehicle Collision,Driver Fatigue,4,Van; Three Wheeler; Motorcycle; Car,18-25,0,3,High
Mattakkuliya Junction,2025-02-28,16:53,Minor Injury,Rear-end Collision,Driver Negligence,4,Car; Lorry; Three Wheeler; Motorcycle,46-55,0,4,Moderate
High Level Road Kirulapone,2024-12-16,21:40,Minor Injury,Single Vehicle Crash,Drunk Driving,1,Van,26-35,0,1,Moderate
Ibbanwala Junction,2025-12-11,18:46,Fatal,Rear-end Collision,Failure to Yield,3,Motorcycle; Car; Van,56+,1,5,Moderate
Kotahena Junction,2023-05-31,09:38,Minor Injury,Rear-end Collision,Distracted Driving,1,Lorry,46-55,0,3,Moderate
Armour Street Junction,2023-10-23,08:45,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Motorcycle; Three Wheeler; Bicycle; Car,18-25,0,4,High
Mutwal Road Mutwal,2022-05-07,07:58,Serious Injury,Head-on Collision,Overspeeding,1,Car,36-45,0,5,High
Galle Road Fort,2023-01-12,23:58,Minor Injury,Side-impact Collision,Overspeeding,2,Bicycle; Van,18-25,0,3,Moderate
Maradana Junction,2025-01-26,07:51,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,56+,0,2,High
Borella Junction,2024-11-20,08:46,Fatal,Head-on Collision,Driver Fatigue,2,Three Wheeler; Car,18-25,2,6,Moderate
Kirula Road Borella,2025-09-23,17:20,Serious Injury,Single Vehicle Crash,Overspeeding,1,Lorry,46-55,0,3,High
Kochchikade Junction,2024-05-03,17:05,Serious Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Bus,36-45,0,6,Moderate
Pamankada Junction,2024-01-19,10:09,Minor Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Three Wheeler,18-25,0,2,Moderate
Borella Junction,2025-05-19,20:21,Serious Injury,Rear-end Collision,Distracted Driving,2,Car; Bicycle,36-45,0,4,High
"No. 34 Galle Road, Dehiwela",2023-07-12,18:15,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,3,Van; Car; Motorcycle,18-25,0,3,Moderate
Galle Road Kollupitiya,2025-10-31,09:57,Minor Injury,Head-on Collision,Driver Negligence,2,Three Wheeler; Motorcycle,36-45,0,4,High
Mutwal Road Mutwal,2025-02-14,10:32,Serious Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Car,26-35,0,3,Moderate
"Junction of Horana Road and Piliyandala Road, Kesbewa",2023-10-26,19:09,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Van,36-45,0,5,Moderate
Sea Street Kotahena,2023-01-30,12:56,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,26-35,0,3,Low
Bambalapitiya Railway Station Area,2024-10-06,08:33,Serious Injury,Head-on Collision,Driver Negligence,3,Motorcycle; Bicycle; Three Wheeler,46-55,0,2,High
Polduwa Junction,2024-02-26,14:11,Serious Injury,Multi-vehicle Collision,Reckless Driving,2,Three Wheeler; Motorcycle,18-25,0,4,High
Slave Island Junction,2024-01-21,17:24,Serious Injury,Rear-end Collision,Failure to Yield,3,Bicycle; Three Wheeler; Car,18-25,0,2,High
