Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude,conditions,precip,visibility,humidity,cloudcover,sunrise,sunset,weather_condition_label,visibility_level
Borella Junction,2022-08-09,17:08,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Motorcycle; Three Wheeler; Lorry; Van,36-45,0,1,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,"Rain, Partially cloudy",0.032,8.2,79.5,24.1,2022-08-09T06:04:50,2022-08-09T18:27:36,Light Rain,Good
Maradana Junction,2025-03-08,08:16,Minor Injury,Motorcycle Collision,Distracted Driving,3,Motorcycle; Van; Bicycle,26-35,0,3,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,Clear,0.0,5.6,70.0,8.9,2025-03-08T06:20:28,2025-03-08T18:22:34,Clear,Moderate
Pettah Clock Tower Area,2023-04-19,08:34,Serious Injury,Rear-end Collision,Driver Fatigue,2,Bicycle; Three Wheeler,18-25,0,5,Moderate,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385,Partially cloudy,0.0,8.1,77.4,37.0,2023-04-19T06:01:05,2023-04-19T18:18:51,Partially Cloudy,Good
Union Place Borella,2023-07-24,18:12,Serious Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,56+,0,3,High,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,"Rain, Partially cloudy",0.335,7.9,81.9,56.7,2023-07-24T06:03:34,2023-07-24T18:30:51,Light Rain,Good
Slave Island Junction,2024-05-18,11:56,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,26-35,0,1,Low,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123,"Rain, Partially cloudy",0.138,5.1,90.1,56.3,2024-05-18T05:53:42,2024-05-18T18:20:43,Light Rain,Moderate
Armour Street Junction,2024-10-30,20:16,Minor Injury,Rear-end Collision,Driver Negligence,3,Three Wheeler; Bicycle; Van,18-25,0,1,Moderate,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,Partially cloudy,0.0,5.7,82.9,48.1,2024-10-30T05:57:44,2024-10-30T17:50:50,Partially Cloudy,Moderate
Fort Railway Station Area,2023-07-05,15:49,Minor Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,2,Low,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,"Rain, Partially cloudy",2.147,6.5,85.5,86.3,2023-07-05T05:59:54,2023-07-05T18:30:35,Light Rain,Good
Bambalapitiya Junction,2022-02-27,11:39,Minor Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bus,36-45,0,1,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,Rain,0.231,7.1,71.0,10.4,2022-02-27T06:24:09,2022-02-27T18:22:48,Light Rain,Good
"No. 02 Lotus Road, Colombo 01",2025-06-17,08:41,Minor Injury,Pedestrian Collision,Poor Visibility,2,Three Wheeler; Bus,46-55,0,1,Low,"No. 02 Lotus Road, Colombo 01, Colombo, Sri Lanka","No. 02 Lotus Road, Colombo 01, Colombo, Sri Lanka","2 Lotus Rd, Colombo 00100, Sri Lanka",6.9317821,79.8448945,"Rain, Partially cloudy",0.014,7.1,81.1,20.5,2025-06-17T05:56:00,2025-06-17T18:27:23,Light Rain,Good
Duplication Road Bambalapitiya,2025-06-27,13:41,Minor Injury,Pedestrian Collision,Distracted Driving,2,Motorcycle; Three Wheeler,18-25,0,1,Moderate,"Duplication Road Bambalapitiya, Colombo, Sri Lanka","Duplication Road Bambalapitiya, Colombo, Sri Lanka","450 E R. A. De Mel Mawatha, Colombo 00200, Sri Lanka",6.9024028,79.8545389,"Rain, Partially cloudy",0.022,6.8,77.2,23.8,2025-06-27T05:58:11,2025-06-27T18:29:28,Light Rain,Good
Justice Akbar Mawatha Slave Island,2022-01-24,04:38,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Three Wheeler,26-35,0,2,Moderate,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668,Clear,0.0,6.4,83.4,16.4,2022-01-24T06:28:53,2022-01-24T18:16:38,Clear,Good
Madampitiya Road,2022-10-12,22:24,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Bus,18-25,0,2,High,"Madampitiya Road, Colombo, Sri Lanka","Madampitiya Road, Colombo, Sri Lanka","Madampitiya Rd, Colombo, Sri Lanka",6.9624445,79.8714976,"Rain, Partially cloudy",1.725,6.9,91.6,38.9,2022-10-12T05:57:25,2022-10-12T17:56:58,Light Rain,Good
Athurugiriya Junction,2023-06-19,11:04,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Car,26-35,0,2,Low,"Athurugiriya Junction, Colombo, Sri Lanka","Athurugiriya Junction, Colombo, Sri Lanka","Athurugiriya - Nawagamuwa Rd, Sri Lanka",6.9104395,80.0147818,"Rain, Partially cloudy",0.015,8.0,80.3,58.6,2023-06-19T05:56:16,2023-06-19T18:27:42,Light Rain,Good
Wellawatte Junction,2024-01-03,17:52,Minor Injury,Rear-end Collision,Distracted Driving,3,Car; Bicycle; Motorcycle,26-35,0,3,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Partially cloudy,0.001,7.6,79.0,44.8,2024-01-03T06:22:58,2024-01-03T18:06:48,Partially Cloudy,Good
Nelum Pokuna Area,2025-01-19,16:11,Minor Injury,Single Vehicle Crash,Driver Fatigue,1,Motorcycle,46-55,0,1,Low,"Nelum Pokuna Area, Colombo, Sri Lanka","Nelum Pokuna Area, Colombo, Sri Lanka","110 Ananda Coomaraswamy Mawatha, Colombo 00700, Sri Lanka",6.910803199999999,79.86344670000001,"Rain, Overcast",0.456,6.5,93.7,92.8,2025-01-19T06:28:10,2025-01-19T18:14:48,Light Rain,Good
Fort Railway Station Area,2022-01-16,12:38,Fatal,Head-on Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,2,3,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,Rain,0.15,7.5,81.1,16.9,2022-01-16T06:27:26,2022-01-16T18:13:21,Light Rain,Good
Armour Street Junction,2025-08-14,09:08,Minor Injury,Multi-vehicle Collision,Distracted Driving,2,Car; Three Wheeler,26-35,0,2,Moderate,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,Partially cloudy,0.016,7.4,77.4,30.0,2025-08-14T06:04:51,2025-08-14T18:25:55,Partially Cloudy,Good
Union Place Slave Island,2024-05-07,18:09,Minor Injury,Head-on Collision,Driver Fatigue,3,Car; Bicycle; Motorcycle,18-25,0,3,High,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057,"Rain, Partially cloudy",0.028,6.5,84.4,52.1,2024-05-07T05:55:18,2024-05-07T18:19:18,Light Rain,Good
T B Jayah Mawatha Maradana,2025-08-12,22:15,Minor Injury,Rear-end Collision,Overspeeding,2,Three Wheeler; Motorcycle,26-35,0,1,Low,"T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T. B. Jayah Mawatha, Colombo, Sri Lanka",6.9235871,79.8619082,Partially cloudy,0.0,7.4,78.1,43.9,2025-08-12T06:04:53,2025-08-12T18:26:36,Partially Cloudy,Good
Maradana Junction,2024-07-05,17:07,Serious Injury,Multi-vehicle Collision,Unsafe Lane Change,3,Car; Three Wheeler; Motorcycle,18-25,0,5,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,"Rain, Partially cloudy",0.967,7.4,86.1,82.2,2024-07-05T06:00:05,2024-07-05T18:30:41,Light Rain,Good
Messenger Street Pettah,2025-03-09,21:57,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,2,Van; Motorcycle,56+,0,1,Low,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811,Clear,0.0,6.3,66.3,7.3,2025-03-09T06:20:01,2025-03-09T18:22:30,Clear,Good
Maradana Junction,2023-07-11,17:21,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,0,1,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,Partially cloudy,0.005,7.9,83.9,80.8,2023-07-11T06:01:14,2023-07-11T18:31:06,Partially Cloudy,Good
Kollupitiya Railway Station Area,2023-07-25,19:01,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,0,2,Moderate,"Kollupitiya Railway Station Area, Colombo, Sri Lanka","Kollupitiya Railway Station Area, Colombo, Sri Lanka","Kollupitiya Railway Station, Colombo, Sri Lanka",6.9112629,79.8481782,"Rain, Partially cloudy",1.819,7.4,88.9,68.5,2023-07-25T06:03:42,2023-07-25T18:30:45,Light Rain,Good
High Level Road Kirulapone,2022-03-30,19:29,Minor Injury,Rear-end Collision,Mechanical Failure,2,Bus; Car,26-35,0,3,Low,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098,Partially cloudy,0.009,7.9,80.3,22.9,2022-03-30T06:10:03,2022-03-30T18:20:27,Partially Cloudy,Good
Narahenpita Junction,2025-02-13,13:01,Minor Injury,Single Vehicle Crash,Unsafe Lane Change,1,Bicycle,46-55,0,4,Moderate,"Narahenpita Junction, Colombo, Sri Lanka","Narahenpita Junction, Colombo, Sri Lanka","Narahenpita, Colombo 00500, Sri Lanka",6.8899209,79.8826281,Clear,0.0,7.2,68.5,16.1,2025-02-13T06:28:04,2025-02-13T18:21:52,Clear,Good
"Junction of High Level Road and Hospital Road, Kirulapone, Colombo 06",2024-12-29,18:23,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Bus; Motorcycle; Three Wheeler; Van,18-25,0,4,Low,"Junction of High Level Road and Hospital Road, Kirulapone, Colombo 06, Colombo, Sri Lanka","Junction of High Level Road and Hospital Road, Kirulapone, Colombo 06, Colombo, Sri Lanka","High Level Rd & Hospital Rd, Homagama, Sri Lanka",6.8397268,79.9940711,Partially cloudy,0.0,6.9,77.7,50.8,2024-12-29T06:21:09,2024-12-29T18:04:37,Partially Cloudy,Good
Thimbirigasyaya Junction,2022-06-07,19:19,Serious Injury,Pedestrian Collision,Reckless Driving,1,Car,46-55,0,5,High,"Thimbirigasyaya Junction, Colombo, Sri Lanka","Thimbirigasyaya Junction, Colombo, Sri Lanka","Thimbirigasyaya Rd, Colombo 00500, Sri Lanka",6.8936437,79.8704269,"Rain, Partially cloudy",0.04,7.8,85.4,37.4,2022-06-07T05:54:15,2022-06-07T18:24:52,Light Rain,Good
Baseline Road Borella,2025-01-12,03:26,Minor Injury,Rear-end Collision,Driver Negligence,1,Car,18-25,0,4,Low,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917,"Rain, Overcast",0.048,6.1,92.3,97.2,2025-01-12T06:26:27,2025-01-12T18:11:40,Light Rain,Good
Galle Road Wellawatte,2024-01-28,07:10,Fatal,Pedestrian Collision,Reckless Driving,1,Bicycle,46-55,1,1,High,"Galle Road Wellawatte, Colombo, Sri Lanka","Galle Road Wellawatte, Colombo, Sri Lanka","Galle Rd, Colombo, Sri Lanka",6.8755051,79.861039,Partially cloudy,0.0,7.3,71.6,40.6,2024-01-28T06:29:13,2024-01-28T18:17:53,Partially Cloudy,Good
"Junction of W A Silva Mawatha and Pamankada Road, Colombo 06",2025-10-24,20:08,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,26-35,0,3,Moderate,"Junction of W A Silva Mawatha and Pamankada Road, Colombo 06, Colombo, Sri Lanka","Junction of W A Silva Mawatha and Pamankada Road, Colombo 06, Colombo, Sri Lanka","Pamankada Ln & W.A. Silva Mawatha, Colombo, Sri Lanka",6.876749999999999,79.8668632,"Rain, Partially cloudy",0.352,6.1,88.4,45.8,2025-10-24T05:57:15,2025-10-24T17:52:26,Light Rain,Good
Maradana Junction,2025-04-10,17:35,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,56+,0,3,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,"Rain, Partially cloudy",0.284,6.6,83.8,41.0,2025-04-10T06:04:43,2025-04-10T18:19:23,Light Rain,Good
Kotahena Junction,2025-05-22,15:28,Minor Injury,Rear-end Collision,Reckless Driving,1,Car,26-35,0,2,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,Partially cloudy,0.0,7.0,75.3,37.1,2025-05-22T05:53:29,2025-05-22T18:21:24,Partially Cloudy,Good
Ethul Kotte Junction,2023-06-10,17:51,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,36-45,0,4,Low,"Ethul Kotte Junction, Colombo, Sri Lanka","Ethul Kotte Junction, Colombo, Sri Lanka","397 Thalawathugoda Road, Sri Jayawardenepura Kotte, Sri Lanka",6.8793511,79.92028909999999,"Rain, Partially cloudy",0.297,8.1,81.3,62.0,2023-06-10T05:54:38,2023-06-10T18:25:33,Light Rain,Good
Marine Drive Galle Face,2025-09-28,07:33,Serious Injury,Head-on Collision,Reckless Driving,3,Motorcycle; Car; Van,26-35,0,3,High,"Marine Drive Galle Face, Colombo, Sri Lanka","Marine Drive Galle Face, Colombo, Sri Lanka","Chaithya Rd, Colombo, Sri Lanka",6.9316981,79.841965,Partially cloudy,0.092,7.4,81.3,37.8,2025-09-28T05:59:01,2025-09-28T18:03:40,Partially Cloudy,Good
Liberty Plaza Area,2022-10-25,00:19,Minor Injury,Side-impact Collision,Driver Negligence,1,Motorcycle,26-35,0,4,Moderate,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999,"Rain, Partially cloudy",0.045,8.4,84.3,30.2,2022-10-25T05:57:15,2022-10-25T17:52:11,Light Rain,Good
Borella Junction,2023-05-08,08:55,Minor Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Car,18-25,0,2,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,"Rain, Partially cloudy",0.108,7.9,82.3,69.6,2023-05-08T05:55:14,2023-05-08T18:19:19,Light Rain,Good
Maradana Junction,2025-04-14,14:49,Minor Injury,Pedestrian Collision,Reckless Driving,1,Van,18-25,0,1,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,"Rain, Partially cloudy",0.024,6.2,77.7,42.6,2025-04-14T06:02:58,2025-04-14T18:19:06,Light Rain,Good
Panchikawatte Junction,2024-11-29,10:40,Minor Injury,Side-impact Collision,Overspeeding,1,Motorcycle,26-35,0,2,Low,"Panchikawatte Junction, Colombo, Sri Lanka","Panchikawatte Junction, Colombo, Sri Lanka","Panchikawatta, Colombo 01000, Sri Lanka",6.9309682,79.8639835,Overcast,0.0,3.7,89.5,92.6,2024-11-29T06:06:28,2024-11-29T17:51:43,Overcast,Moderate
Maradana Junction,2024-07-21,00:05,Minor Injury,Rear-end Collision,Driver Fatigue,1,Car,56+,0,1,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,Partially cloudy,0.0,6.9,71.1,31.3,2024-07-21T06:03:15,2024-07-21T18:31:03,Partially Cloudy,Good
Hulftsdorp Junction,2023-10-01,09:13,Minor Injury,Rear-end Collision,Distracted Driving,2,Car; Bicycle,18-25,0,2,High,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161,"Rain, Partially cloudy",2.092,7.1,93.0,70.6,2023-10-01T05:58:39,2023-10-01T18:02:21,Light Rain,Good
T B Jayah Mawatha Maradana,2024-04-07,15:50,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,46-55,0,1,Moderate,"T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T. B. Jayah Mawatha, Colombo, Sri Lanka",6.9235871,79.8619082,Partially cloudy,0.004,6.4,80.8,49.5,2024-04-07T06:05:59,2024-04-07T18:19:37,Partially Cloudy,Good
Hospital Road Colombo 10,2023-08-07,07:57,Serious Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Three Wheeler,46-55,0,2,Moderate,"Hospital Road Colombo 10, Colombo, Sri Lanka","Hospital Road Colombo 10, Colombo, Sri Lanka","Hospital Rd, Colombo, Sri Lanka",6.8648594,79.8703535,Partially cloudy,0.0,8.8,78.9,68.4,2023-08-07T06:04:48,2023-08-07T18:28:15,Partially Cloudy,Good
Maradana Junction,2024-01-05,02:01,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Bus,26-35,0,3,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,Partially cloudy,0.003,8.0,81.6,38.5,2024-01-05T06:23:46,2024-01-05T18:07:50,Partially Cloudy,Good
Armour Street Junction,2025-07-16,06:34,Serious Injury,Head-on Collision,Poor Visibility,1,Motorcycle,26-35,0,5,Low,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,Partially cloudy,0.0,7.4,75.1,51.5,2025-07-16T06:02:22,2025-07-16T18:31:16,Partially Cloudy,Good
Colombo 07 Junction,2024-06-06,23:08,Serious Injury,Multi-vehicle Collision,Reckless Driving,4,Car; Bicycle; Three Wheeler; Motorcycle,26-35,0,2,High,"Colombo 07 Junction, Colombo, Sri Lanka","Colombo 07 Junction, Colombo, Sri Lanka","Colombo 07, Colombo 00700, Sri Lanka",6.9066125,79.8596227,Partially cloudy,0.001,7.6,78.8,64.6,2024-06-06T05:54:12,2024-06-06T18:24:47,Partially Cloudy,Good
Sea Street Kotahena,2025-11-20,08:37,Minor Injury,Multi-vehicle Collision,Distracted Driving,3,Car; Three Wheeler; Motorcycle,18-25,0,4,Low,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,Clear,0.032,6.9,77.2,19.8,2025-11-20T06:02:43,2025-11-20T17:49:53,Clear,Good
Armour Street Pettah,2025-10-26,19:11,Minor Injury,Multi-vehicle Collision,Driver Negligence,4,Three Wheeler; Motorcycle; Bus; Lorry,56+,0,3,Low,"Armour Street Pettah, Colombo, Sri Lanka","Armour Street Pettah, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,Partially cloudy,0.016,7.0,83.4,35.9,2025-10-26T05:57:21,2025-10-26T17:51:52,Partially Cloudy,Good
Liberty Plaza Area,2025-07-22,18:39,Serious Injury,Rear-end Collision,Reckless Driving,1,Motorcycle,36-45,0,2,High,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999,"Rain, Partially cloudy",0.082,7.0,77.5,29.7,2025-07-22T06:03:23,2025-07-22T18:31:01,Light Rain,Good
Wellawatte Junction,2023-01-09,19:08,Minor Injury,Pedestrian Collision,Driver Fatigue,2,Three Wheeler; Motorcycle,56+,0,2,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Partially cloudy,0.0,8.3,68.0,35.7,2023-01-09T06:25:19,2023-01-09T18:09:57,Partially Cloudy,Good
Bauddhaloka Mawatha Cinnamon Gardens,2022-12-02,09:03,Serious Injury,Side-impact Collision,Driver Negligence,2,Car; Motorcycle,26-35,0,3,High,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402,"Rain, Partially cloudy",1.628,7.9,84.5,26.4,2022-12-02T06:07:35,2022-12-02T17:52:25,Light Rain,Good
Messenger Street Pettah,2025-04-06,07:28,Serious Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,3,High,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811,"Rain, Partially cloudy",1.453,6.9,77.7,27.7,2025-04-06T06:06:34,2025-04-06T18:19:44,Light Rain,Good
Wellawatte Junction,2023-01-02,07:01,Minor Injury,Motorcycle Collision,Overspeeding,1,Motorcycle,18-25,0,1,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Partially cloudy,0.0,7.9,69.8,43.6,2023-01-02T06:22:39,2023-01-02T18:06:24,Partially Cloudy,Good
Kochchikade Junction,2025-02-26,08:50,Serious Injury,Side-impact Collision,Failure to Yield,3,Three Wheeler; Bicycle; Motorcycle,26-35,0,3,High,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243,Partially cloudy,0.0,6.8,65.6,24.1,2025-02-26T06:24:26,2025-02-26T18:22:49,Partially Cloudy,Good
Liberty Plaza Area,2022-10-20,18:15,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,56+,0,3,Low,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999,"Rain, Partially cloudy",0.051,8.2,80.7,32.5,2022-10-20T05:57:07,2022-10-20T17:53:48,Light Rain,Good
Justice Akbar Mawatha Slave Island,2025-01-05,18:34,Minor Injury,Head-on Collision,Unsafe Lane Change,2,Bicycle; Lorry,18-25,0,2,Moderate,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668,Partially cloudy,0.0,6.7,74.9,53.0,2025-01-05T06:24:04,2025-01-05T18:08:14,Partially Cloudy,Good
Slave Island Junction,2023-12-21,18:18,Minor Injury,Single Vehicle Crash,Overspeeding,1,Van,36-45,0,4,Low,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123,"Rain, Partially cloudy",0.743,7.6,82.0,43.6,2023-12-21T06:16:57,2023-12-21T18:00:09,Light Rain,Good
Armour Street Junction,2024-02-14,02:54,Serious Injury,Head-on Collision,Drunk Driving,2,Three Wheeler; Motorcycle,26-35,0,5,Moderate,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,Partially cloudy,0.0,6.1,76.6,47.4,2024-02-14T06:28:00,2024-02-14T18:21:54,Partially Cloudy,Good
Bambalapitiya Railway Station Area,2023-07-09,07:46,Minor Injury,Rear-end Collision,Reckless Driving,1,Car,46-55,0,2,Moderate,"Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station, Colombo, Sri Lanka",6.8936984,79.8529574,Partially cloudy,0.0,8.1,81.9,80.4,2023-07-09T06:00:48,2023-07-09T18:30:58,Partially Cloudy,Good
Modara Junction,2022-03-31,23:24,Serious Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Van,46-55,0,4,Moderate,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533,Clear,0.0,7.9,81.6,14.7,2022-03-31T06:09:33,2022-03-31T18:20:21,Clear,Good
Hulftsdorp Junction,2025-05-11,20:42,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Bicycle; Motorcycle; Van; Three Wheeler,18-25,0,2,Low,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161,"Rain, Partially cloudy",0.054,7.5,69.2,30.1,2025-05-11T05:54:36,2025-05-11T18:19:42,Light Rain,Good
Dematagoda Junction,2024-04-27,18:36,Serious Injury,Rear-end Collision,Poor Visibility,4,Bicycle; Motorcycle; Car; Three Wheeler,36-45,0,5,Moderate,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195,"Rain, Partially cloudy",0.126,7.1,85.8,53.2,2024-04-27T05:57:57,2024-04-27T18:18:46,Light Rain,Good
Wellawatte Junction,2022-08-14,19:49,Fatal,Side-impact Collision,Driver Negligence,2,Car; Van,18-25,1,5,High,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Partially cloudy,0.0,8.5,78.5,35.0,2022-08-14T06:04:49,2022-08-14T18:25:58,Partially Cloudy,Good
