Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude
Maradana Junction,2023-12-17,19:56,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Van,46-55,0,4,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Borella Junction,2025-02-21,12:46,Fatal,Pedestrian Collision,Reckless Driving,1,Lorry,36-45,1,5,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Bambalapitiya Junction,2024-04-17,04:11,Serious Injury,Rear-end Collision,Reckless Driving,3,Lorry; Motorcycle; Car,36-45,0,5,High,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Maradana Junction,2024-04-12,20:23,Minor Injury,Rear-end Collision,Failure to Yield,3,Three Wheeler; Car; Motorcycle,26-35,0,4,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Wellawatte Junction,2022-01-11,07:29,Minor Injury,Single Vehicle Crash,Distracted Driving,1,Car,18-25,0,1,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
Fort Railway Station Area,2022-04-11,09:56,Serious Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Van,26-35,0,4,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Pettah Clock Tower Area,2022-04-26,09:59,Minor Injury,Rear-end Collision,Driver Negligence,2,Car; Bus,18-25,0,4,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Union Place Borella,2025-02-13,09:35,Minor Injury,Side-impact Collision,Pedestrian Negligence,2,Three Wheeler; Motorcycle,36-45,0,4,High,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951
Mutwal Road Mutwal,2022-10-20,14:48,Serious Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,5,High,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458
Kochchikade Junction,2025-01-04,23:56,Minor Injury,Side-impact Collision,Reckless Driving,2,Motorcycle; Three Wheeler,26-35,0,3,Low,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243
Pettah Market Area,2022-06-19,14:26,Minor Injury,Side-impact Collision,Driver Fatigue,2,Motorcycle; Bus,36-45,0,3,Low,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187
High Level Road Kirulapone,2024-05-17,07:19,Minor Injury,Rear-end Collision,Overspeeding,4,Motorcycle; Car; Bus; Van,56+,0,4,Moderate,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Justice Akbar Mawatha Slave Island,2025-10-01,14:36,Fatal,Rear-end Collision,Overspeeding,4,Van; Bus; Motorcycle; Three Wheeler,46-55,1,4,High,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668
Wellawatte Junction,2022-07-15,15:59,Fatal,Side-impact Collision,Overspeeding,3,Lorry; Three Wheeler; Van,18-25,1,4,Moderate,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
Cambridge Place Colombo 07,2022-05-25,20:10,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Van,36-45,0,6,High,"Cambridge Place Colombo 07, Colombo, Sri Lanka","Cambridge Place Colombo 07, Colombo, Sri Lanka","Cambridge Pl, Colombo 00700, Sri Lanka",6.9071988,79.8600266
"No. 88 Galle Road, Rathmalana",2023-12-15,09:38,Serious Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Three Wheeler,46-55,0,4,High,"No. 88 Galle Road, Rathmalana, Colombo, Sri Lanka","No. 88 Galle Road, Rathmalana, Colombo, Sri Lanka","88a Galle Rd, Dehiwala-Mount Lavinia 10350, Sri Lanka",6.8478503,79.8658834
Pittugala Junction,2022-07-29,23:41,Serious Injury,Rear-end Collision,Driver Negligence,1,Van,26-35,0,2,High,"Pittugala Junction, Colombo, Sri Lanka","Pittugala Junction, Colombo, Sri Lanka","Pittugala, Malabe, Sri Lanka",6.909119599999999,79.9716093
Borella Junction,2024-02-19,09:44,Serious Injury,Multi-vehicle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,56+,0,4,High,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Technical Junction,2024-01-07,18:56,Minor Injury,Side-impact Collision,Reckless Driving,1,Motorcycle,18-25,0,3,Moderate,"Technical Junction, Colombo, Sri Lanka","Technical Junction, Colombo, Sri Lanka","WVJ6+W69 Technical Junction, Colombo 01000, Sri Lanka",6.9322829,79.86062299999999
Wattala Junction,2024-06-08,19:52,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Van,18-25,0,1,Low,"Wattala Junction, Colombo, Sri Lanka","Wattala Junction, Colombo, Sri Lanka","Wattala Junction, Negombo - Colombo Main Rd, Wattala 11300, Sri Lanka",6.9780099,79.8891664
Bambalapitiya Junction,2025-05-01,11:25,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Three Wheeler; Car,36-45,0,4,Low,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Baseline Road Rajagiriya,2025-05-23,15:24,Minor Injury,Rear-end Collision,Driver Negligence,4,Three Wheeler; Lorry; Car; Van,36-45,0,2,High,"Baseline Road Rajagiriya, Colombo, Sri Lanka","Baseline Road Rajagiriya, Colombo, Sri Lanka","Baseline Rd, Sri Lanka",6.9345357,79.8783223
Marine Drive Kollupitiya,2023-11-07,14:30,Minor Injury,Rear-end Collision,Reckless Driving,1,Motorcycle,56+,0,1,Moderate,"Marine Drive Kollupitiya, Colombo, Sri Lanka","Marine Drive Kollupitiya, Colombo, Sri Lanka","Marine Drive, Colombo, Sri Lanka",6.9061405,79.8497258
Fort Railway Station Area,2023-07-16,08:22,Serious Injury,Single Vehicle Crash,Driver Fatigue,1,Car,46-55,0,3,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Mattakkuliya Junction,2022-05-01,11:52,Serious Injury,Rear-end Collision,Unsafe Lane Change,1,Van,26-35,0,6,Moderate,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318
Justice Akbar Mawatha Slave Island,2022-10-20,17:21,Minor Injury,Pedestrian Collision,Poor Visibility,1,Motorcycle,26-35,0,1,High,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668
"No. 15 Colvin R. de Silva Mawatha, Colombo 02",2023-12-11,16:31,Serious Injury,Pedestrian Collision,Driver Fatigue,1,Motorcycle,26-35,0,2,Moderate,"No. 15 Colvin R. de Silva Mawatha, Colombo 02, Colombo, Sri Lanka","No. 15 Colvin R. de Silva Mawatha, Colombo 02, Colombo, Sri Lanka","393/15/1/1 Dr Colvin R de Silva Mawatha, Colombo 00700, Sri Lanka",6.9199075,79.8600008
Slave Island Junction,2024-11-09,14:43,Minor Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Van,18-25,0,2,Low,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123
Darley Road Cinnamon Gardens,2023-06-16,18:53,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,18-25,0,3,Moderate,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451
"Junction of St. Joseph's Street and Kotahena Street, Colombo 13",2023-09-25,16:05,Serious Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Three Wheeler; Bus,18-25,0,6,Moderate,"Junction of St. Joseph's Street and Kotahena Street, Colombo 13, Colombo, Sri Lanka","Junction of St. Joseph's Street and Kotahena Street, Colombo 13, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
High Level Road Kirulapone,2023-12-26,21:47,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Bicycle,26-35,0,3,High,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Modara Junction,2022-09-06,09:14,Fatal,Rear-end Collision,Reckless Driving,1,Three Wheeler,18-25,1,3,High,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533
Liberty Plaza Area,2025-02-13,19:52,Minor Injury,Side-impact Collision,Failure to Yield,2,Three Wheeler; Lorry,26-35,0,1,Moderate,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999
Bauddhaloka Mawatha Havelock Town,2023-06-08,23:51,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,26-35,0,2,Low,"Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo, Sri Lanka",6.897011,79.8598172
Pettah Clock Tower Area,2024-11-05,07:07,Minor Injury,Rear-end Collision,Distracted Driving,2,Motorcycle; Car,36-45,0,4,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Marine Drive Kollupitiya,2024-02-22,06:47,Fatal,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,26-35,1,5,High,"Marine Drive Kollupitiya, Colombo, Sri Lanka","Marine Drive Kollupitiya, Colombo, Sri Lanka","Marine Drive, Colombo, Sri Lanka",6.9061405,79.8497258
Pettah Clock Tower Area,2023-05-27,21:13,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,56+,0,3,Low,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Kotahena Junction,2022-10-14,20:45,Serious Injury,Multi-vehicle Collision,Driver Negligence,4,Bicycle; Lorry; Motorcycle; Car,46-55,0,4,Moderate,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
Viharamahadevi Park Entrance,2025-04-17,23:38,Minor Injury,Multi-vehicle Collision,Poor Visibility,4,Motorcycle; Bus; Car; Three Wheeler,18-25,0,4,High,"Viharamahadevi Park Entrance, Colombo, Sri Lanka","Viharamahadevi Park Entrance, Colombo, Sri Lanka","Viharamahadevi Park, Colombo 00700, Sri Lanka",6.9142322,79.8625967
High Level Road Kirulapone,2025-11-15,06:55,Serious Injury,Rear-end Collision,Unsafe Lane Change,3,Bicycle; Motorcycle; Three Wheeler,36-45,0,6,High,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Borella Police Area,2024-06-25,10:21,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,26-35,0,3,Low,"Borella Police Area, Colombo, Sri Lanka","Borella Police Area, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951
Pagoda Road Nugegoda,2024-10-12,12:16,Serious Injury,Rear-end Collision,Failure to Yield,2,Car; Three Wheeler,18-25,0,4,High,"Pagoda Road Nugegoda, Colombo, Sri Lanka","Pagoda Road Nugegoda, Colombo, Sri Lanka","Pagoda Rd, Sri Lanka",6.8805035,79.895529
Sir Chittampalam A Gardiner Mawatha Fort,2023-06-24,09:47,Serious Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Bicycle; Car,26-35,0,6,High,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933
Sir Chittampalam A Gardiner Mawatha Fort,2025-01-27,19:29,Serious Injury,Multi-vehicle Collision,Driver Negligence,3,Bicycle; Car; Motorcycle,46-55,0,3,Moderate,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933
D R Wijewardena Mawatha Dematagoda,2025-10-14,21:39,Minor Injury,Pedestrian Collision,Poor Visibility,1,Motorcycle,36-45,0,2,Low,"D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9315143,79.8545206
"Junction of Rosmead Place and Maitland Crescent, Colombo 07",2025-02-18,21:16,Minor Injury,Rear-end Collision,Distracted Driving,1,Car,46-55,0,1,Low,"Junction of Rosmead Place and Maitland Crescent, Colombo 07, Colombo, Sri Lanka","Junction of Rosmead Place and Maitland Crescent, Colombo 07, Colombo, Sri Lanka","Maitland Cres, Colombo 00700, Sri Lanka",6.9097085,79.8662576
Kollupitiya Junction,2024-09-26,12:20,Minor Injury,Motorcycle Collision,Unsafe Lane Change,4,Motorcycle; Three Wheeler; Van; Bicycle,26-35,0,2,High,"Kollupitiya Junction, Colombo, Sri Lanka","Kollupitiya Junction, Colombo, Sri Lanka","Kollupitiya - Sri Jayewardenepura Rd, Colombo, Sri Lanka",6.9117245,79.8614617
Olcott Mawatha Pettah,2022-01-04,16:59,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,26-35,0,1,Low,"Olcott Mawatha Pettah, Colombo, Sri Lanka","Olcott Mawatha Pettah, Colombo, Sri Lanka","Olcott Mawatha, Colombo, Sri Lanka",6.9344449,79.8544929
Viharamahadevi Park Entrance,2022-01-24,18:04,Serious Injury,Rear-end Collision,Reckless Driving,2,Car; Three Wheeler,56+,0,5,High,"Viharamahadevi Park Entrance, Colombo, Sri Lanka","Viharamahadevi Park Entrance, Colombo, Sri Lanka","Viharamahadevi Park, Colombo 00700, Sri Lanka",6.9142322,79.8625967
Pettah Clock Tower Area,2024-04-04,09:34,Serious Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Lorry,36-45,0,5,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Union Place Borella,2024-10-26,10:56,Serious Injury,Head-on Collision,Driver Negligence,3,Car; Motorcycle; Lorry,26-35,0,3,Moderate,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951
Panchikawatte,2025-03-05,19:45,Minor Injury,Side-impact Collision,Failure to Yield,2,Bicycle; Lorry,26-35,0,4,Low,"Panchikawatte, Colombo, Sri Lanka","Panchikawatte, Colombo, Sri Lanka","Panchikawatta, Colombo 01000, Sri Lanka",6.9309682,79.8639835
Fort Railway Station Area,2025-11-30,09:09,Minor Injury,Pedestrian Collision,Driver Fatigue,2,Van; Three Wheeler,26-35,0,2,Low,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Slave Island Junction,2024-11-01,20:23,Minor Injury,Pedestrian Collision,Driver Negligence,2,Three Wheeler; Bicycle,36-45,0,1,High,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123
Kotahena Junction,2025-10-27,11:52,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Car; Three Wheeler; Motorcycle,26-35,0,4,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
Bauddhaloka Mawatha Cinnamon Gardens,2022-12-26,21:06,Minor Injury,Side-impact Collision,Unsafe Lane Change,1,Three Wheeler,36-45,0,2,Moderate,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402
Mutwal Road Mutwal,2024-07-17,15:15,Serious Injury,Side-impact Collision,Failure to Yield,4,Motorcycle; Bus; Car; Bicycle,46-55,0,5,High,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458
Armour Street Junction,2023-10-16,09:06,Fatal,Multi-vehicle Collision,Overspeeding,4,Bus; Motorcycle; Car; Three Wheeler,36-45,1,5,High,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Union Place Borella,2024-05-22,09:27,Minor Injury,Rear-end Collision,Reckless Driving,2,Motorcycle; Bicycle,18-25,0,2,Moderate,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951
Pamankada Junction,2023-04-10,08:32,Fatal,Motorcycle Collision,Unsafe Lane Change,3,Motorcycle; Bus; Bicycle,36-45,1,4,High,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529
Armour Street Pettah,2023-03-10,07:03,Fatal,Head-on Collision,Poor Visibility,2,Three Wheeler; Car,18-25,1,5,High,"Armour Street Pettah, Colombo, Sri Lanka","Armour Street Pettah, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Union Place Borella,2024-11-20,04:03,Minor Injury,Pedestrian Collision,Distracted Driving,1,Lorry,18-25,0,2,High,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951
Maya Avenue Junction,2025-05-26,11:04,Fatal,Multi-vehicle Collision,Reckless Driving,3,Motorcycle; Three Wheeler; Bicycle,18-25,1,5,Moderate,"Maya Avenue Junction, Colombo, Sri Lanka","Maya Avenue Junction, Colombo, Sri Lanka","Maya Ave, Colombo 00500, Sri Lanka",6.8798254,79.870857
Pettah Market Area,2024-08-06,17:34,Serious Injury,Rear-end Collision,Reckless Driving,2,Lorry; Motorcycle,26-35,0,6,High,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187
Sir Chittampalam A Gardiner Mawatha Fort,2023-01-03,03:00,Fatal,Pedestrian Collision,Reckless Driving,1,Motorcycle,18-25,1,4,Moderate,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933
Union Place Borella,2024-08-27,14:40,Fatal,Multi-vehicle Collision,Overspeeding,3,Three Wheeler; Motorcycle; Car,26-35,2,4,High,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951
D R Wijewardena Mawatha Fort,2024-09-27,07:36,Fatal,Rear-end Collision,Reckless Driving,4,Three Wheeler; Car; Van; Motorcycle,26-35,1,8,High,"D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9324236,79.8505139
Angulana Junction,2023-09-06,15:09,Serious Injury,Rear-end Collision,Reckless Driving,2,Car; Motorcycle,18-25,0,6,High,"Angulana Junction, Colombo, Sri Lanka","Angulana Junction, Colombo, Sri Lanka","Galle Rd, Dehiwala-Mount Lavinia, Sri Lanka",6.804609699999999,79.8866977
Peliyagoda Junction,2024-05-05,15:13,Serious Injury,Pedestrian Collision,Overspeeding,2,Car; Three Wheeler,26-35,0,5,High,"Peliyagoda Junction, Colombo, Sri Lanka","Peliyagoda Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243
Justice Akbar Mawatha Slave Island,2025-06-05,07:47,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Bicycle,56+,0,5,High,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668
Kollupitiya Flyover Approach,2022-11-20,03:57,Minor Injury,Single Vehicle Crash,Pedestrian Negligence,1,Motorcycle,36-45,0,3,Low,"Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya, Colombo, Sri Lanka",6.912815399999999,79.8506815
Colombo Fort Bus Stand Area,2022-02-24,16:19,Minor Injury,Rear-end Collision,Overspeeding,2,Motorcycle; Three Wheeler,18-25,0,2,Low,"Colombo Fort Bus Stand Area, Colombo, Sri Lanka","Colombo Fort Bus Stand Area, Colombo, Sri Lanka","WVM4+6G8 Bastian Mawatha Bus Station, Olcott Mawatha, Colombo, Sri Lanka",6.932847,79.856589
Sea Street Pettah,2024-11-15,21:00,Minor Injury,Motorcycle Collision,Reckless Driving,1,Motorcycle,26-35,0,3,Low,"Sea Street Pettah, Colombo, Sri Lanka","Sea Street Pettah, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Messenger Street Pettah,2024-01-22,09:03,Minor Injury,Side-impact Collision,Distracted Driving,1,Bicycle,56+,0,3,Low,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811
Bauddhaloka Mawatha Cinnamon Gardens,2024-05-15,21:53,Minor Injury,Multi-vehicle Collision,Distracted Driving,2,Car; Motorcycle,46-55,0,1,Moderate,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402
Pettah Clock Tower Area,2024-10-08,04:16,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Three Wheeler; Motorcycle; Lorry; Bicycle,36-45,0,1,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Borella Junction,2025-05-15,10:53,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,26-35,0,2,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Chatham Street Fort,2025-05-27,18:44,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Lorry; Three Wheeler; Car,36-45,0,2,High,"Chatham Street Fort, Colombo, Sri Lanka","Chatham Street Fort, Colombo, Sri Lanka","Chatham St, Colombo, Sri Lanka",6.9345031,79.8437927
Narahenpita Junction,2023-12-23,07:47,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,4,Van; Car; Three Wheeler; Bus,18-25,0,2,High,"Narahenpita Junction, Colombo, Sri Lanka","Narahenpita Junction, Colombo, Sri Lanka","Narahenpita, Colombo 00500, Sri Lanka",6.8899209,79.8826281
Mutwal Road Mutwal,2023-05-27,18:34,Minor Injury,Side-impact Collision,Driver Negligence,2,Three Wheeler; Bicycle,36-45,0,2,Moderate,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458
Pettah Clock Tower Area,2023-11-15,20:54,Serious Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Bicycle,26-35,0,3,Moderate,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Modara Junction,2024-12-02,12:01,Minor Injury,Multi-vehicle Collision,Driver Fatigue,2,Van; Motorcycle,56+,0,1,Low,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533
Bambalapitiya Junction,2023-06-27,08:47,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Lorry; Car,18-25,0,2,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Maradana Junction,2023-09-19,09:33,Minor Injury,Motorcycle Collision,Mechanical Failure,2,Motorcycle; Three Wheeler,18-25,0,3,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Darley Road Cinnamon Gardens,2023-07-23,15:30,Serious Injury,Rear-end Collision,Distracted Driving,4,Motorcycle; Car; Bicycle; Three Wheeler,36-45,0,6,Moderate,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451
